# Ford Motor CO stock data, NASDAQ:FORD
# From 14 Feb 2011, 10 Feb 2012, daily
# Date Open High Low Close Volume
52 4.57 4.57 4.28 4.28 24246
53 4.46 4.48 4.35 4.42 18045
54 4.52 4.55 4.25 4.33 29373
55 4.34 4.46 4.34 4.40 7014
56 4.39 4.39 4.26 4.28 30094
57 4.28 4.35 4.28 4.34 6780
58 4.26 4.31 4.02 4.13 34514
59 4.12 4.17 3.90 3.96 11240
60 3.98 4.00 3.90 3.96 6455
61 3.94 4.03 3.94 3.99 5029
62 3.64 3.98 3.46 3.66 71515
63 3.65 3.78 3.65 3.75 19953
64 3.70 3.73 3.50 3.53 7508
65 3.53 3.78 3.44 3.57 26113
66 3.52 3.65 3.52 3.54 8975
67 3.52 3.65 3.52 3.58 1900
68 3.53 3.59 3.52 3.58 4666
69 3.52 3.59 3.51 3.52 11512
70 3.51 3.54 3.50 3.50 18586
71 3.51 3.51 3.43 3.43 7870
72 3.42 3.44 3.34 3.44 32488
73 3.39 3.39 3.39 3.39 0
74 3.50 3.50 3.44 3.45 25462
75 3.48 3.69 3.45 3.65 31445
76 3.85 3.85 3.37 3.57 56466
77 3.54 3.60 3.45 3.51 4438
78 3.40 3.50 3.28 3.32 22816
79 3.33 3.40 3.25 3.25 22032
80 3.28 3.30 3.10 3.10 10205
81 3.09 3.23 2.91 3.17 15825
82 3.21 3.25 3.01 3.15 10738
83 3.11 3.11 2.95 3.00 18620
84 3.06 3.19 3.05 3.08 5545
85 3.05 3.06 2.96 2.99 17209
86 2.99 3.06 2.99 3.06 3819
87 3.02 3.12 3.02 3.10 4363
88 3.06 3.07 2.93 2.95 39480
89 2.92 3.10 2.92 3.00 8572
90 3.01 3.01 2.75 2.79 29239
91 2.79 2.94 2.79 2.86 8384
92 2.91 2.91 2.59 2.62 32118
93 2.62 2.69 2.52 2.62 31064
94 2.64 2.67 2.59 2.60 18510
95 2.65 2.68 2.53 2.62 21375
96 2.62 2.66 2.58 2.66 11285
97 2.74 2.74 2.74 2.74 0
98 2.69 2.94 2.57 2.82 28551
99 2.79 3.00 2.79 2.93 26530
100 2.97 3.05 2.75 2.92 35550
101 2.97 3.08 2.92 3.05 22200
102 2.99 3.11 2.90 2.90 12170
103 2.99 3.07 2.99 3.02 5996
104 2.96 3.09 2.93 3.00 21026
105 3.00 3.04 2.94 2.99 29058
106 2.97 2.97 2.93 2.95 4100
107 2.98 2.99 2.90 2.99 9259
108 2.91 2.99 2.90 2.96 28674
109 3.02 3.02 2.90 2.96 11938
110 2.99 2.99 2.92 2.92 8442
111 2.88 2.96 2.86 2.87 6551
112 2.85 2.90 2.85 2.85 11845
113 2.85 2.97 2.80 2.83 6249
114 2.80 2.89 2.71 2.72 15450
115 2.76 2.87 2.70 2.76 7786
116 2.80 2.82 2.62 2.67 37925
117 2.77 3.07 2.73 3.03 64894
118 3.06 3.06 2.54 2.63 157142
119 2.64 2.74 2.63 2.65 15554
120 2.75 2.82 2.63 2.74 49382
121 2.81 2.83 2.70 2.71 26407
122 2.63 2.70 2.01 2.01 101328
# 123 is 9 August 2011
123 0.00 0.00 0.00 2.96 121119
124 2.76 3.00 2.60 2.73 37837
125 2.67 2.76 2.60 2.73 15046
126 2.74 2.82 2.65 2.78 15331
127 3.00 3.00 2.73 2.73 34858
128 2.84 2.84 2.60 2.68 39746
129 2.63 2.80 2.60 2.65 15741
130 2.78 2.78 2.50 2.70 23656
131 2.78 2.78 2.50 2.68 20093
132 2.70 2.84 2.56 2.84 37218
133 2.85 2.85 2.61 2.66 17660
134 2.71 2.72 2.62 2.67 11393
135 2.70 2.72 2.62 2.65 7853
136 2.65 2.72 2.61 2.66 4920
137 2.72 2.72 2.61 2.70 8720
138 2.80 2.82 2.62 2.69 24799
139 2.74 2.80 2.55 2.64 29289
140 2.68 2.72 2.58 2.62 22167
141 2.65 2.70 2.55 2.70 15201
142 2.55 2.70 2.55 2.70 7787
143 2.65 2.72 2.63 2.70 48978
144 2.67 2.85 2.50 2.70 60824
145 2.63 2.72 2.55 2.70 8072
146 2.85 2.85 2.50 2.50 89069
147 2.47 2.80 2.47 2.56 19720
148 2.56 2.60 2.47 2.54 22505
149 2.56 2.70 2.45 2.58 12402
150 2.53 2.72 2.53 2.70 11295
151 2.58 2.69 2.54 2.58 19104
152 2.63 2.67 2.53 2.55 23504
153 2.47 2.68 2.47 2.51 11573
154 2.48 2.48 2.26 2.26 37720
155 2.63 2.63 2.28 2.37 15615
156 2.31 2.37 2.25 2.33 38976
157 2.33 2.45 2.25 2.37 31050
158 2.32 2.35 2.25 2.26 12920
159 2.29 2.46 2.14 2.19 18989
160 2.23 2.28 2.15 2.25 11986
161 2.19 2.24 2.05 2.06 11015
162 2.06 2.06 1.90 1.91 36482
163 2.02 2.02 1.90 1.99 16652
164 2.04 2.10 1.95 2.04 37274
165 2.00 2.10 2.00 2.04 4153
166 2.12 2.12 1.90 2.04 14353
167 2.01 2.08 1.99 2.03 12835
168 2.09 2.12 2.03 2.05 8416
169 2.03 2.19 2.03 2.12 12778
170 2.15 2.15 2.03 2.05 9831
171 2.10 2.18 2.04 2.05 15615
172 2.04 2.15 2.04 2.08 3805
173 2.04 2.15 2.04 2.06 22861
174 2.06 2.13 2.04 2.04 11856
175 2.04 2.20 2.00 2.15 44504
176 2.20 2.20 2.04 2.15 25796
177 2.12 2.13 2.05 2.05 16112
178 2.12 2.18 2.06 2.07 12347
179 2.05 2.15 2.03 2.11 24977
180 2.14 2.17 2.07 2.10 13096
181 2.04 2.10 2.02 2.02 20432
182 2.01 2.08 2.00 2.01 18017
183 2.01 2.08 2.00 2.08 6079
184 2.15 2.15 2.00 2.05 11477
185 2.03 2.08 2.02 2.02 2448
186 2.01 2.02 2.00 2.02 10125
187 2.08 2.08 2.00 2.06 9775
188 2.00 2.08 1.90 2.00 49388
189 1.98 2.06 1.96 1.96 4374
190 2.02 2.04 1.90 1.98 25293
191 1.92 1.97 1.81 1.81 39221
192 1.85 1.89 1.76 1.76 178293
193 1.80 1.85 1.75 1.80 28572
194 1.81 1.81 1.77 1.77 9200
195 1.77 1.80 1.75 1.78 7383
196 1.76 1.83 1.70 1.81 17330
197 1.81 1.81 1.75 1.75 2824
198 1.78 1.78 1.78 1.78 0
199 1.79 1.79 1.70 1.72 13030
200 1.70 1.75 1.63 1.65 16203
201 1.69 1.81 1.69 1.80 4700
202 1.79 1.79 1.62 1.62 7642
203 1.61 1.70 1.61 1.64 10078
204 1.63 1.76 1.63 1.67 25945
205 1.67 1.69 1.62 1.65 33703
206 1.66 1.71 1.62 1.70 17807
207 1.73 1.75 1.63 1.63 10600
208 1.67 1.74 1.63 1.63 17015
209 1.66 1.70 1.63 1.70 3289
210 1.64 1.69 1.60 1.60 34421
211 1.62 1.67 1.59 1.65 31969
212 1.68 1.68 1.60 1.62 11850
213 1.60 1.69 1.55 1.61 32065
214 1.60 1.69 1.60 1.61 13693
215 1.60 1.67 1.60 1.65 14364
216 1.67 1.67 1.55 1.61 18138
217 1.61 1.66 1.61 1.63 18525
218 1.63 1.70 1.63 1.70 18670
219 1.65 1.65 1.65 1.65 0
220 1.63 1.65 1.56 1.60 18535
221 1.60 1.65 1.56 1.65 29461
222 1.60 1.70 1.60 1.70 19333
223 1.67 1.67 1.67 1.67 0
224 1.69 1.70 1.65 1.67 16630
225 1.68 1.71 1.65 1.66 5517
226 1.65 1.69 1.65 1.67 9148
227 1.68 1.69 1.66 1.67 9798
228 1.72 1.75 1.68 1.75 34458
229 1.77 1.77 1.73 1.77 11013
230 1.77 1.96 1.75 1.90 60125
231 1.96 2.04 1.87 2.02 47773
232 1.93 1.93 1.93 1.93 0
233 1.88 2.00 1.85 1.86 38506
234 1.90 1.90 1.86 1.90 8350
235 1.88 1.95 1.88 1.90 16588
236 1.88 1.99 1.85 1.99 17083
237 1.99 1.99 1.90 1.99 13351
238 1.96 1.99 1.86 1.97 7355
239 2.00 2.00 1.91 1.97 11553
240 1.94 2.00 1.94 1.97 8950
241 1.94 2.00 1.92 1.93 8840
242 1.92 1.99 1.92 1.95 9867
243 1.93 1.99 1.93 1.95 3382
244 1.96 2.04 1.93 1.96 31431
245 1.95 2.02 1.93 1.93 20228
246 1.92 2.16 1.92 2.01 54938
247 1.98 2.14 1.95 2.06 33801
248 2.06 2.13 2.00 2.05 14112
249 2.11 2.13 2.07 2.10 9872
250 2.15 2.18 2.11 2.11 20679
251 2.01 2.08 1.96 2.03 62000

